query_id,query,method,rank,doc_id,title,topic,source,url,score,query_processed,expanded_query,expansion_terms
Q1,cầu thủ Quang Hải,TF-IDF,1,110541,Cận cảnh buổi tập thứ 2 của Quang Hải: Đồng đội và CĐV gọi tên Quang Hải!,,vtv.vn,https://vtv.vn/bong-da-trong-nuoc/can-canh-buoi-tap-thu-2-cua-quang-hai-dong-doi-va-cdv-goi-ten-quang-hai-202207011750449.htm,0.4181395173072815,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,2,65149,"Cầu thủ Việt kiều Pháp gia nhập Ligue 2, chuẩn bị so tài cùng Quang Hải là ai?",,bongdaplus,https://bongdaplus.vn/video/cau-thu-viet-kieu-phap-gia-nhap-ligue-2-chuan-bi-so-tai-cung-quang-hai-la-ai-716412207.html,0.39705151319503784,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,3,144421,Điểm tin 22/6: HLV của đội Ligue 2 thừa nhận không biết Quang Hải là ai,None,bongdaplus,https://bongdaplus.vn/video/diem-tin-22-6-hlv-cua-doi-ligue-2-thua-nhan-khong-biet-quang-hai-la-ai-713712206.html,0.3814886212348938,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,4,107545,"Sự kiện Quang Hải sang thi đấu tại Pháp khiến truyền thông nước ngoài ""nổi sóng""",Clip Eva,eva.vn,https://eva.vn/clip-eva/su-kien-quang-hai-sang-thi-dau-tai-phap-khien-truyen-thong-nuoc-ngoai-noi-song-c157a523355.html,0.36303776502609253,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,5,148844,Cầu thủ Quang Hải bị va chạm giao thông trên đường Hà Nội,Xã hội,dantri,https://dantri.com.vn/xa-hoi/cau-thu-quang-hai-bi-va-cham-giao-thong-tren-duong-ha-noi-20220620183909330.htm,0.36218035221099854,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,6,120012,Quang Hải chuẩn bị kiểm tra y tế ở CLB Pau,Thể thao,zingnews,https://zingnews.vn/quang-hai-chuan-bi-kiem-tra-y-te-o-clb-pau-post1330820.html,0.34916114807128906,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,7,148743,Thực hư thông tin cầu thủ Quang Hải bị CSGT dừng xe do vượt đèn đỏ,None,soha,https://soha.vn/thuc-hu-thong-tin-cau-thu-quang-hai-bi-csgt-dung-xe-do-vuot-den-do-20220620185836054.htm,0.3486354947090149,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,8,112354,8 cầu thủ cạnh tranh vị trí với Quang Hải ở Pau FC,Bóng đá Việt Nam,vtc.vn,https://vtc.vn/8-cau-thu-canh-tranh-vi-tri-voi-quang-hai-o-pau-fc-ar685255.html,0.3410528600215912,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,9,6553,Lịch trực tiếp Pau FC và Quang Hải tại Ligue II,Thể thao,tuoitre.vn,https://tuoitre.vn/lich-truc-tiep-pau-fc-va-quang-hai-tai-ligue-ii-202207292300005.htm,0.33730030059814453,cầu_thủ quang_hải,,
Q1,cầu thủ Quang Hải,TF-IDF,10,149958,CĐV Đông Nam Á phản ứng ra sao khi Quang Hải sắp sang Pháp chơi bóng,None,bongdaplus,https://bongdaplus.vn/video/cdv-dong-nam-a-phan-ung-ra-sao-khi-quang-hai-sap-sang-phap-choi-bong-713482206.html,0.3370094895362854,cầu_thủ quang_hải,,
Q2,giá xăng tăng,TF-IDF,1,37029,"Giá xăng giảm sâu, nhiều người trông giá hàng hóa giảm theo",Video,thanhnien.vn,https://thanhnien.vn/gia-xang-giam-sau-nhieu-nguoi-trong-gia-hang-hoa-giam-theo-post1480617.html,0.5350831747055054,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,2,38975,"Giá xăng vừa giảm mạnh, người dân mang cả bình 19 lít đi mua xăng",,laodong,https://laodong.vn/photo/gia-xang-vua-giam-manh-nguoi-dan-mang-ca-binh-19-lit-di-mua-xang-1070979.ldo,0.5119219422340393,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,3,78653,Giá xăng giảm mạnh: Người dân xếp hàng gần nửa tiếng mới đổ được xăng,,laodong,https://laodong.vn/photo/gia-xang-giam-manh-nguoi-dan-xep-hang-gan-nua-tieng-moi-do-duoc-xang-1066778.ldo,0.5026960968971252,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,4,14830,Giá xăng đã giảm 3 lần liền tiếp còn hàng hóa thì chưa,,zingnews,https://zingnews.vn/video-gia-xang-da-giam-3-lan-lien-tiep-con-hang-hoa-thi-chua-post1339836.html,0.4977903962135315,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,5,8709,"Giá xăng giảm liên tục giá cả vẫn tăng cao, hàng ở chợ đắt hơn siêu thị",Kinh Doanh,vietnamnet.vn,https://vietnamnet.vn/gia-xang-giam-lien-tuc-gia-ca-van-tang-cao-hang-o-cho-dat-hon-sieu-thi-2044078.html,0.47497886419296265,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,6,164449,Diễn biến giá xăng từ đầu năm 2022 đến nay: 6 tháng tăng 8.505 đồng/lít,None,laodong,https://laodong.vn/infographic/dien-bien-gia-xang-tu-dau-nam-2022-den-nay-6-thang-tang-8505-donglit-1056019.ldo,0.4525938034057617,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,7,135745,"Bất chấp giá xăng tăng vọt, giới lái xe toàn cầu vẫn nườm nượp ra đường",Xe & Số,danviet,https://danviet.vn/bat-chap-gia-xang-tang-vot-gioi-lai-xe-toan-cau-van-nuom-nuop-ra-duong-20220621103104064.htm,0.4504774510860443,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,8,18246,Lý giải nguyên nhân giá xăng giảm nhưng giá hàng hóa vẫn neo cao,,danviet,https://danviet.vn/ly-giai-nguyen-nhan-gia-xang-giam-nhung-gia-hang-hoa-van-neo-cao-20220727072159555.htm,0.4495735168457031,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,9,74273,"Giá xăng giảm, người dân và doanh nghiệp phấn khởi - Video đã phát trên VTV | VTV.VN",,vtv.vn,https://vtv.vn/video/gia-xang-giam-nguoi-dan-va-doanh-nghiep-phan-khoi-568714.htm,0.44855496287345886,giá xăng tăng,,
Q2,giá xăng tăng,TF-IDF,10,71684,Tài xế xe công nghệ: Giá xăng giảm tiết kiệm được 100.000 đồng/ngày,,zingnews,https://zingnews.vn/video-tai-xe-xe-cong-nghe-gia-xang-giam-tiet-kiem-duoc-100000-dongngay-post1335333.html,0.44242995977401733,giá xăng tăng,,
Q3,thị trường chứng khoán giảm điểm,TF-IDF,1,148924,Thống kê: Chứng khoán Việt có xu hướng giảm mạnh hơn hẳn vào thứ hai đầu tuần?,Kinh doanh,cafebiz,https://cafebiz.vn/thong-ke-chung-khoan-viet-co-xu-huong-giam-manh-hon-han-vao-thu-hai-dau-tuan-20220620164739024.chn,0.30939966440200806,thị_trường_chứng_khoán giảm điểm,,
Q3,thị trường chứng khoán giảm điểm,TF-IDF,2,98074,Kế hoạch nâng hạng thị trường chứng khoán có khả thi không?,,baochinhphu,https://baochinhphu.vn/ke-hoach-nang-hang-thi-truong-chung-khoan-co-kha-thi-khong-119220705082213142.htm,0.2949531078338623,thị_trường_chứng_khoán giảm điểm,,
Q3,thị trường chứng khoán giảm điểm,TF-IDF,3,153381,Có nên gia nhập thị trường chứng khoán lúc này? - VnExpress Kinh doanh,None,vnexpress,https://vnexpress.net/co-nen-gia-nhap-thi-truong-chung-khoan-luc-nay-4475331.html,0.29295119643211365,thị_trường_chứng_khoán giảm điểm,,
Q3,thị trường chứng khoán giảm điểm,TF-IDF,4,25056,Các thị trường chứng khoán châu Á mất đà trong phiên sáng 25/7,,thethaovanhoa,https://thethaovanhoa.vn/ban-can-biet/cac-thi-truong-chung-khoan-chau-a-mat-da-trong-phien-sang-25-7-n20220725115423920.htm,0.2595973610877991,thị_trường_chứng_khoán giảm điểm,,
