query_id,query,doc_id,title,topic,source,url,relevance
Q1,cầu thủ Quang Hải,4670,"Quang Hải được đăng ký vào danh sách thi đấu của Pau FC, sẵn sàng chào sân tại Ligue 2",,soha,https://soha.vn/quang-hai-duoc-dang-ky-vao-danh-sach-thi-dau-cua-pau-fc-san-sang-chao-san-tai-ligue-2-20220730111208367.htm,
Q1,cầu thủ Quang Hải,6553,Lịch trực tiếp Pau FC và Quang Hải tại Ligue II,Thể thao,tuoitre.vn,https://tuoitre.vn/lich-truc-tiep-pau-fc-va-quang-hai-tai-ligue-ii-202207292300005.htm,
Q1,cầu thủ Quang Hải,13504,Bình tĩnh chờ đợi Quang Hải - Tuổi Trẻ Online,Thể thao,tuoitre.vn,https://tuoitre.vn/binh-tinh-cho-doi-quang-hai-20220727235320841.htm,
Q1,cầu thủ Quang Hải,65149,"Cầu thủ Việt kiều Pháp gia nhập Ligue 2, chuẩn bị so tài cùng Quang Hải là ai?",,bongdaplus,https://bongdaplus.vn/video/cau-thu-viet-kieu-phap-gia-nhap-ligue-2-chuan-bi-so-tai-cung-quang-hai-la-ai-716412207.html,
Q1,cầu thủ Quang Hải,107545,"Sự kiện Quang Hải sang thi đấu tại Pháp khiến truyền thông nước ngoài ""nổi sóng""",Clip Eva,eva.vn,https://eva.vn/clip-eva/su-kien-quang-hai-sang-thi-dau-tai-phap-khien-truyen-thong-nuoc-ngoai-noi-song-c157a523355.html,
Q1,cầu thủ Quang Hải,110541,Cận cảnh buổi tập thứ 2 của Quang Hải: Đồng đội và CĐV gọi tên Quang Hải!,,vtv.vn,https://vtv.vn/bong-da-trong-nuoc/can-canh-buoi-tap-thu-2-cua-quang-hai-dong-doi-va-cdv-goi-ten-quang-hai-202207011750449.htm,
Q1,cầu thủ Quang Hải,112354,8 cầu thủ cạnh tranh vị trí với Quang Hải ở Pau FC,Bóng đá Việt Nam,vtc.vn,https://vtc.vn/8-cau-thu-canh-tranh-vi-tri-voi-quang-hai-o-pau-fc-ar685255.html,
Q1,cầu thủ Quang Hải,113528,"Chủ tịch Pau FC: ""Quang Hải là cầu thủ giỏi mà chúng tôi chưa từng có""",Thể thao,anninhthudo,https://www.anninhthudo.vn/chu-tich-pau-fc-quang-hai-la-cau-thu-gioi-ma-chung-toi-chua-tung-co-post509264.antd,
Q1,cầu thủ Quang Hải,113684,"HLV Pau FC thừa nhận một điều, so sánh Quang Hải với ngôi sao tuyển Pháp",Thể thao,dantri,https://dantri.com.vn/the-thao/hlv-pau-fc-thua-nhan-mot-dieu-so-sanh-quang-hai-voi-ngoi-sao-tuyen-phap-20220630230033736.htm,
Q1,cầu thủ Quang Hải,114988,"Thi đấu cho Pau FC, Quang Hải được báo Trung Quốc khen tương lai tươi sáng",Thể thao,baoquocte,https://baoquocte.vn/thi-dau-cho-pau-fc-quang-hai-duoc-bao-trung-quoc-khen-tuong-lai-tuoi-sang-189092.html,
Q1,cầu thủ Quang Hải,116156,Quang Hải tạo dấu ấn chưa từng có ở Pau FC chỉ sau một đêm | Báo Dân trí,Thể thao,dantri,https://dantri.com.vn/the-thao/quang-hai-tao-dau-an-chua-tung-co-o-pau-fc-chi-sau-mot-dem-20220630125840106.htm,
Q1,cầu thủ Quang Hải,116329,Giá trị của Quang Hải trong dàn cầu thủ tại Pau FC,Thể thao,zingnews,https://zingnews.vn/gia-tri-cua-quang-hai-trong-dan-cau-thu-tai-pau-fc-post1331242.html,
Q1,cầu thủ Quang Hải,117764,Báo Pháp nhấn mạnh Quang Hải là canh bạc của Pau FC,Thể thao,laodong,https://laodong.vn/bong-da/bao-phap-nhan-manh-quang-hai-la-canh-bac-cua-pau-fc-1062246.ldo,
Q1,cầu thủ Quang Hải,118547,Quang Hải vượt qua kiểm tra y tế tại Pau FC,Thể thao,nld,https://nld.com.vn/the-thao/quang-hai-vuot-qua-kiem-tra-y-te-tai-pau-fc-20220629202311731.htm,
